date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:59	76/76	---MC-	200	added ('OK')	text/plain	date:Sat,%2013%20Aug%202022%2008:14:58%20GMT	https://digiperform.com/robots.txt		(from )
13:45:00	209885/209885	---MC-	200	added ('OK')	text/html	date:Sat,%2013%20Aug%202022%2008:14:58%20GMT	https://digiperform.com/	E:/github/nazia/nazia%20madam/digiperform.com/index.html	(from )
13:45:00	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2013%20Aug%202022%2008:14:59%20GMT	https://digiperform.com/xmlrpc.php	E:/github/nazia/nazia%20madam/digiperform.com/xmlrpc.php	(from https://digiperform.com/)
13:45:01	88932/88932	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2018:31:58%20GMT	https://digiperform.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	E:/github/nazia/nazia%20madam/digiperform.com/wp-includes/css/dist/block-library/style.min37ad.css	(from https://digiperform.com/)
13:45:01	2731/2731	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jun%202022%2006:06:55%20GMT	https://digiperform.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/plugins/contact-form-7/includes/css/styles40df.css	(from https://digiperform.com/)
13:45:01	316/316	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Apr%202022%2010:03:39%20GMT	https://digiperform.com/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.min.css?ver=6.0.1	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.min37ad.css	(from https://digiperform.com/)
13:45:01	134540/134540	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2012:28:27%20GMT	https://digiperform.com/wp-content/themes/essentials/inc/scss/bootstrap.min.css?ver=6.0.1	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/themes/essentials/inc/scss/bootstrap.min37ad.css	(from https://digiperform.com/)
13:45:02	485521/485521	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Apr%202022%2006:45:29%20GMT	https://digiperform.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.8.0	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/plugins/js_composer/assets/css/js_composer.min8e94.css	(from https://digiperform.com/)
13:45:02	1798/1798	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2012:28:27%20GMT	https://digiperform.com/wp-content/themes/essentials/css/build/flickity.min.css?ver=2.0.1	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/themes/essentials/css/build/flickity.min7406.css	(from https://digiperform.com/)
13:45:02	13604/13604	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2012:28:27%20GMT	https://digiperform.com/wp-content/themes/essentials/css/build/pixicon-light/style.min.css?ver=2.0.1	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/themes/essentials/css/build/pixicon-light/style.min7406.css	(from https://digiperform.com/)
13:45:02	22546/22546	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2012:28:27%20GMT	https://digiperform.com/wp-content/themes/essentials/css/jquery-confirm.min.css?ver=2.0.1	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/themes/essentials/css/jquery-confirm.min7406.css	(from https://digiperform.com/)
13:45:02	11134/11134	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2012:28:27%20GMT	https://digiperform.com/wp-content/themes/essentials/css/build/bootstrap-select.min.css?ver=2.0.1	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/themes/essentials/css/build/bootstrap-select.min7406.css	(from https://digiperform.com/)
13:45:03	488684/488684	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2012:28:35%20GMT	https://digiperform.com/wp-content/uploads/wp-scss-cache/pix-essentials-style-2.css?ver=1649334515	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/uploads/wp-scss-cache/pix-essentials-style-2985b.css	(from https://digiperform.com/)
13:45:03	6300/6300	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2007:01:28%20GMT	https://digiperform.com/wp-content/plugins/convertplug/modules/assets/css/cp-module-main.css?ver=3.5.19	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/plugins/convertplug/modules/assets/css/cp-module-main88de.css	(from https://digiperform.com/)
13:45:03	159394/159394	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2007:01:28%20GMT	https://digiperform.com/wp-content/plugins/convertplug/modules/modal/assets/css/modal.min.css?ver=3.5.19	E:/github/nazia/nazia%20madam/digiperform.com/wp-content/plugins/convertplug/modules/modal/assets/css/modal.min88de.css	(from https://digiperform.com/)
13:45:03	168017/168017	---MC-	200	added ('OK')	application/rss+xml	etag:%22ecc3a81b39253b7daa9bbc32f54511c0%22	https://digiperform.com/feed/	E:/github/nazia/nazia%20madam/digiperform.com/feed/index.html	(from https://digiperform.com/)
13:45:03	89521/89521	---M--	200	added ('OK')	application/javascript	date:Thu,%2011%20Mar%202021%2003:37:24%20GMT	https://digiperform.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	E:/github/nazia/nazia%20madam/digiperform.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://digiperform.com/)
